Deal ID,Deal ID,X,Y,Current size under contract (ha),Deal ID,Negotiation status,year,Operating company: Classification,,,,Buffer,km2,r,n
5795,5795,-23.476159,-64.38106,207,5795,2001#current#Concluded (Contract signed),2001,Private company,,,,,,,
5796,5796,-23.32371,-64.22454,3177,5796,2000#current#Concluded (Contract signed),2000,Private company,,,,,,,
5797,5797,-24.18611,-62.88422,8321,5797,2013#current#Concluded (Contract signed),2013,Private company,,,,,,,
5801,5801,-25.45943,-63.77922,8788,5801,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
5802,5802,-25.45943,-63.77922,45673,5802,2011#current#Concluded (Contract signed),2011,Private company,,,,,,,
5803,5803,-23.37164,-63.0961,2385,5803,2011#current#Concluded (Contract signed),2011,Private company,,,,,,,
5804,5804,-24.18611,-62.88422,2487,5804,2005#current#Concluded (Contract signed),2005,Private company,,,,,,,
5805,5805,-24.18611,-62.88422,1656,5805,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
6851,6851,-25.98489,-61.74497,2322,6851,2018-12-17#current#Concluded (Contract signed),2018,Individual entrepreneur,,,,,,,
6855,6855,-38.95168,-68.05919,80000,6855,2013#current#Concluded (Contract signed),2013,Individual entrepreneur,,,,,,,
6886,6886,-33.00778,-58.51117,5000,6886,2011-12-28#current#Concluded (Contract signed),2011,Individual entrepreneur,,,,,,,
6892,6892,-27.74514,-55.89837,6800,6892,2015-05-27#current#Concluded (Contract signed),2015,Individual entrepreneur,,,,,,,
6939,6939,-26.05099,-61.16347,404,6939,2006#current#Concluded (Contract signed),2006,Private company,,,,,,,
6960,6960,-29.45381,-61.93888,732,6960,2009-09-10#current#Concluded (Contract signed),2009,Individual entrepreneur,,,,,,,
6961,6961,-29.03969,-61.60428,883,6961,2001-07-17#current#Concluded (Contract signed),2001,Individual entrepreneur,,,,,,,
6977,6977,-29.06889,-61.48728,798,6977,2013-08-12#current#Concluded (Contract signed),2013,Individual entrepreneur,,,,,,,
6978,6978,-29.02642,-61.51894,948,6978,2014-01-20#current#Concluded (Contract signed),2014,Individual entrepreneur,,,,,,,
6979,6979,-29.07216,-61.56938,585,6979,2010-02-09#current#Concluded (Contract signed),2010,Individual entrepreneur,,,,,,,
6992,6992,-26.14513,-63.57078,3008,6992,2007-12-20#current#Concluded (Contract signed),2007,Individual entrepreneur,,,,,,,
6994,6994,-26.83816,-63.26821,6000,6994,2008-04#current#Concluded (Contract signed),2008,Individual entrepreneur,,,,,,,
7003,7003,-48.79903,-69.50875,43027,7003,2002#current#Concluded (Contract signed),2002,Private company,,,,,,,
7172,7172,-27.29776,-54.2012,350,7172,2009#current#Concluded (Contract signed),2009,Individual entrepreneur,,,,,,,
7173,7173,-32.99806,-68.87261,674,7173,2011#current#Concluded (Contract signed),2011,Private company,,,,,,,
7219,7219,-22.44073,-66.16755,418,7219,2003#current#Concluded (Contract signed),2003,Private company,,,,,,,
7237,7237,-22.44073,-66.16755,3551,7237,2008#current#Concluded (Contract signed),2008,Private company,,,,,,,
7238,7238,-22.74503,-65.89623,1955,7238,2002#current#Concluded (Contract signed),2002,State-/government (owned) company,,,,,,,
,7238,-23.85772,-65.46759,,,,,,,,,,,,
7239,7239,-23.41667,-66.48333,2771,7239,2002#current#Concluded (Contract signed),2002,Private company,,,,,,,
,7239,-23.85772,-65.46759,,,,,,,,,,,,
7240,7240,-22.74503,-65.89623,586,7240,2005#current#Concluded (Contract signed),2005,Private company,,,,,,,
,7240,-22.44073,-66.16755,,,,,,,,,,,,
7241,7241,-22.44073,-66.16755,3609,7241,2006#current#Concluded (Contract signed),2006,Other,,,,,,,
7243,7243,-23.85772,-65.46759,200,7243,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
7252,7252,-24.66726,-65.05006,18100,7252,2000#current#Concluded (Contract signed),2000,Private company,,,,,,,
7253,7253,-24.66726,-65.05006,182700,7253,2005#current#Concluded (Contract signed),2005,Private company,,,,,,,
7257,7257,-24.66726,-65.05006,600,7257,2016#current#Concluded (Contract signed),2016,Private company,,,,,,,
7259,7259,-24.652296,-65.102045,1227,7259,2018#current#Concluded (Contract signed),2018,Private company,,,,,,,
7260,7260,-24.66726,-65.05006,705,7260,2004#current#Concluded (Contract signed),2004,Private company,,,,,,,
7261,7261,-24.66726,-65.05006,3759,7261,2003#current#Concluded (Contract signed),2003,Private company,,,,,,,
7262,7262,-24.66726,-65.05006,2621,7262,2001#current#Concluded (Contract signed),2001,Individual entrepreneur,,,,,,,
7265,7265,-24.66726,-65.05006,277,7265,2011#current#Concluded (Contract signed),2011,Private company,,,,,,,
7266,7266,-24.66726,-65.05006,217,7266,2009#current#Concluded (Contract signed),2009,Private company,,,,,,,
7267,7267,-24.66726,-65.05006,263,7267,2010#current#Concluded (Contract signed),2010,Individual entrepreneur,,,,,,,
7268,7268,-24.622455,-64.830478,2340,7268,2005#current#Concluded (Contract signed),2005,Individual entrepreneur,,,,,,,
7270,7270,-24.66726,-65.05006,4581,7270,2019#current#Concluded (Contract signed),2019,Private company,,,,,,,
7271,7271,-24.66726,-65.05006,1394,7271,2005#current#Concluded (Contract signed),2005,Individual entrepreneur,,,,,,,
7273,7273,-24.66726,-65.05006,300,7273,2014#current#Concluded (Contract signed),2014,Private company,,,,,,,
7274,7274,-24.66726,-65.05006,6341,7274,2001#current#Concluded (Contract signed),2001,Private company,,,,,,,
7280,7280,-25.012786,-65.050905,6200,7280,2008#current#Concluded (Contract signed),2008,Private company,,,,,,,
7281,7281,-24.66726,-65.05006,22500,7281,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
7282,7282,-24.51643,-64.789985,444,7282,2012#current#Concluded (Contract signed),2012,Private company,,,,,,,
7283,7283,-24.66726,-65.05006,1009,7283,2004#current#Concluded (Contract signed),2004,Private company,,,,,,,
8400,8400,-38.34664,-62.30992,7523,8400,2017#current#Concluded (Contract signed),2017,,,,,,,,
8489,8489,-37.39751,-59.22223,529,8489,2017-12-13#current#Concluded (Contract signed),2017,Private company,,,,,,,
8491,8491,-28.49461,-63.81629,5860,8491,2009#current#Concluded (Contract signed),2009,Private company,,,,,,,
8497,8497,-26.95835,-65.35028,750,8497,2018-12-01#current#Concluded (Contract signed),2018,Private company,,,,,,,
8504,8504,-30.41101,-69.22376,5000,8504,2020#current#Concluded (Contract signed),2020,Private company,,,,,,,
8731,8731,-27.52713,-68.62869,34967,8731,2016#current#Concluded (Contract signed)|2022##Concluded (Contract signed),2016,Private company,,,,,,,
8739,8739,-31.14899,-65.48401,16845,8739,2020-12-17#current#Concluded (Contract signed),2020,Government institution,,,,,,,
8776,8776,-25.42417,-67.09389,32121,8776,2019##Concluded (Contract signed)|2024#current#Concluded (Contract signed),2019,Private company,,,,,,,
8777,,,,,,,,,,,,,,,
8780,8780,-31.56003,-68.73119,270,8780,2017#current#Concluded (Contract signed),2017,Private company,,,,,,,
8829,8829,-50.3025,-70.91694,1150000,8829,2015#current#Concluded (Contract signed),2015,Stock-exchange listed company,,,,,,,
,8829,-50.78996,-70.77673,,,,,,,,,,,,
,8829,-51.45632,-69.15396,,,,,,,,,,,,
,8829,-50.95417,-70.93167,,,,,,,,,,,,
8830,8830,-45.00052,-67.83204,2843700,8830,2021-07-01#current#Concluded (Contract signed),2021,Stock-exchange listed company,,,,,,,
,8830,-33.32943,-68.73338,,,,,,,,,,,,
8843,8843,-25.24528,-66.76778,10418,8843,2011##Concluded (Contract signed)|2017##Concluded (Contract signed)|2022#current#Concluded (Contract signed),2011,Private company,,,,,,,
8856,8856,-33.77213,-69.04043,8790,8856,2011#current#Concluded (Contract signed),2011,Private company,,,,,,,
8858,8858,-33.77213,-69.04043,10000,8858,2006#current#Concluded (Contract signed),2006,Private company,,,,,,,
8965,8965,-50.4833,-71.3167,13600,8965,2006##Concluded (Contract signed)|2020#current#Concluded (Change of ownership),2006,Private company,,,,,,,
9409,9409,-24.16555,-66.94456,4429,9409,2017#current#Concluded (Contract signed),2017,Private company,,,,,,,
9413,9413,-24.41714,-67.39289,22412,9413,2018#current#Concluded (Contract signed),2018,Private company,,,,,,,
9415,9415,-42.62397,-65.27925,24834,9415,#current#Concluded (Contract signed),#cur,Stock-exchange listed company,,,,,,,
,9415,-42.72659,-65.38585,,,,,,,,,,,,
,9415,-42.65018,-65.14835,,,,,,,,,,,,
9416,,,,,,,,,,,,,,,
9417,,,,,,,,,,,,,,,
9418,9418,-37.71407,-59.02169,1464,9418,2020-04-15#current#Concluded (Contract signed),2020,Stock-exchange listed company,,,,,,,
9419,9419,-31.33504,-68.67186,1175,9419,2018-04-01#current#Concluded (Contract signed),2018,Stock-exchange listed company,,,,,,,
9420,9420,-25.09722,-68.15028,32586,9420,2019#current#Concluded (Contract signed),2019,Private company,,,,,,,
9421,9421,-25.297858,-66.955693,16906,9421,2018#current#Concluded (Contract signed),2018,Private company,,,,,,,
9422,,,,,,,,,,,,,,,
9430,9430,-25.272713,-66.818791,8079,9430,2016-11#current#Concluded (Contract signed),2016,Private company,,,,,,,
9437,9437,-24.65463,-66.89322,26270,9437,2022#current#Concluded (Contract signed),2022,Private company,,,,,,,
9440,9440,-24.774257,-67.738202,20535,9440,2021#current#Concluded (Contract signed),2021,Private company,,,,,,,
9442,9442,-23.40041,-66.36551,7000,9442,2021#current#Concluded (Contract signed),2021,Private company,,,,,,,
9443,9443,-23.59522,-65.88502,17064,9443,2020-12-14#current#Concluded (Contract signed),2020,Private company,,,,,,,
9446,9446,-31.34136,-66.5886,30000,9446,2019-07-04#current#Concluded (Contract signed),2019,Private company,,,,,,,
9487,9487,-24.17093,-67.58825,10857,9487,2020-02-19##Concluded (Change of ownership)|2021##Concluded (Change of ownership)|2024-01-04##Concluded (Change of ownership)|2024-10-09#current#Concluded (Change of ownership),2020,,,,,,,,
9489,9489,-23.48603,-66.70647,12080,9489,#current#Concluded (Contract signed),#cur,Private company,,,,,,,
9490,9490,-25.24568,-67.49039,5378,9490,2012#current#Concluded (Contract signed),2012,Private company,,,,,,,
9513,9513,-32.12506,-68.71549,920,9513,2022#current#Concluded (Contract signed),2022,Other,,,,,,,
9514,9514,-27.91415,-55.75493,782,9514,2021-06-27#current#Concluded (Contract signed),2021,Private company,,,,,,,
,9514,-27.98062,-55.52173,,,,,,,,,,,,
9519,9519,-27.2752,-63.51282,30000,9519,2022-06-30#current#Concluded (Contract signed),2022,Private company,,,,,,,
9552,9552,-25.71583,-67.71055,7569,9552,2022#current#Concluded (Contract signed)|2017##Concluded (Contract signed),2022,Private company,,,,,,,
9565,9565,-25.33059,-67.242,14984,9565,2011#current#Concluded (Contract signed),2011,Private company,,,,,,,
9568,9568,-26.40722,-67.67666,25583,9568,2017#current#Concluded (Contract signed),2017,Private company,,,,,,,
9569,9569,-24.0728,-67.21585,2374,9569,2021#current#Concluded (Contract signed),2021,Private company,,,,,,,
9570,9570,-25.51699,-67.61834,10653,9570,2020-02-19#current#Concluded (Contract signed),2020,,,,,,,,
9574,9574,-25.45094,-66.97011,3062,9574,#current#Concluded (Contract signed),#cur,Private company,,,,,,,
9575,9575,-28.91618,-65.5362,8386,9575,2021-10-26#current#Concluded (Contract signed),2021,Private company,,,,,,,
9590,9590,-25.65927,-67.51979,86192,9590,2022#current#Concluded (Change of ownership),2022,Private company,,,,,,,
9591,9591,-28.14429,-66.37913,31114,9591,2017##Concluded (Contract signed)|2022#current#Concluded (Change of ownership),2017,Private company,,,,,,,
9596,9596,-25.91607,-67.65098,53300,9596,2016#current#Concluded (Contract signed),2016,Private company,,,,,,,
9605,9605,-25.84445,-68.18966,24708,9605,2018#current#Concluded (Contract signed),2018,Private company,,,,,,,
9611,9611,-26.29682,-66.80512,20978,9611,2018#current#Concluded (Contract signed),2018,Private company,,,,,,,
9612,9612,-26.76749,-67.30947,11650,9612,2018-08-30##Concluded (Contract signed)|2020#current#Concluded (Contract signed),2018,Private company,,,,,,,
9613,9613,-25.30129,-66.67073,717,9613,2010#current#Concluded (Contract signed),2010,Private company,,,,,,,
9614,9614,-25.29052,-66.65388,6347,9614,2019-02-26#current#Concluded (Contract signed),2019,Private company,,,,,,,
9664,9664,-28.44743,-65.48508,3052,9664,2017##Concluded (Contract signed)|2020#current#Concluded (Contract signed),2017,Private company,,,,,,,
9717,9717,-27.78335,-64.26416,13000,9717,2022#current#Concluded (Contract signed),2022,Private company,,,,,,,
9718,9718,-27.45265,-58.98123,2864,9718,2020#current#Concluded (Contract signed),2020,Private company,,,,,,,
10023,10023,-38.66972,-62.03822,1562,10023,2009-11-28#current#Concluded (Contract signed),2009,Private company,,,,,,,
10026,10026,-28.74224,-66.70834,7000,10026,2022-12-12#current#Concluded (Contract signed),2022,Private company,,,,,,,
10056,10056,-36.0006,-64.59845,1250,10056,2023#current#Concluded (Contract signed),2023,Stock-exchange listed company,,,,,,,
10232,10232,-47.29949,-66.99315,2455,10232,2017#current#Concluded (Contract signed),2017,Private company,,,,,,,
10306,10306,-43.34948,-65.1781,1500,10306,2010-04-15#current#Concluded (Contract signed),2010,Stock-exchange listed company,,,,,,,
